feature,chrome,firefox,safari,interop
link-selectors,100.0,90.9,90.9,90.9
shadow-dom,96.2,90.6,95.1,90.6
sticky-positioning,95.0,90.6,90.6,90.6
details,97.8,100.0,90.5,90.5
search,100.0,100.0,90.5,90.5
will-change,100.0,100.0,90.5,90.5
shared-workers,91.5,90.6,90.2,90.2
filter,99.8,90.1,98.9,90.1
indeterminate,90.0,100.0,100.0,90.0
toggleevent-source,95.0,95.0,90.0,90.0
input-number,98.0,93.9,89.8,89.8
counter-style,94.9,93.2,89.3,89.3
web-audio,97.0,89.3,96.3,89.3
pointer-events-api,91.6,91.7,89.2,89.2
abs-sign,97.8,89.1,97.8,89.1
custom-properties,95.6,89.1,92.0,89.1
wasm-string-builtins,91.1,89.1,91.1,89.1
display-contents,97.6,89.0,92.7,89.0
unlabeled,89.3,89.0,92.0,89.0
fixed-positioning,100.0,100.0,88.9,88.9
font-synthesis-weight,100.0,88.9,88.9,88.9
is,88.9,98.4,92.1,88.9
shadow-parts,95.9,93.8,88.9,88.9
word-break-break-word,100.0,88.9,100.0,88.9
text-indent,100.0,88.5,92.3,88.5
vertical-form-controls,100.0,88.5,92.3,88.5
scroll-snap,98.7,91.7,88.3,88.3
content,97.8,97.1,88.2,88.2
js-modules-service-workers,100.0,88.2,94.1,88.2
mediastream-recording,96.1,92.2,88.2,88.2
object,96.3,90.7,88.2,88.2
private-click-measurement,88.2,88.2,100.0,88.2
transform-box,97.1,100.0,88.2,88.2
clip-path-animatable,88.1,99.2,98.0,88.1
color-mix,88.8,89.6,88.1,88.1
iframe,96.4,94.0,88.1,88.1
meter,88.1,100.0,94.0,88.1
event-timing,93.3,93.9,87.8,87.8
css-object-model,95.0,100.0,87.7,87.7
dialog,87.6,96.0,91.6,87.6
background-position,98.8,87.5,97.7,87.5
em-unit,87.5,87.5,100.0,87.5
font-kerning,94.7,87.5,87.7,87.5
font-synthesis-small-caps,100.0,100.0,87.5,87.5
get-computed-style,91.7,91.7,87.5,87.5
svg-filters,87.5,100.0,87.5,87.5
