sha,date,chrome-version,chrome,firefox-version,firefox,safari-version,safari
349d41838068164e37a1cbd1c8c6ffeba4c72177,2018-11-08,70.0.3538.77,610.1478435036719,63.0.1,1139.9870986155718,12.0.1,2947.979741553863
a516e7edca11e2efe462d2bfc83b5b88dd9f4072,2018-11-09,70.0.3538.77,636.0472785940386,63.0.1,1129.189683214617,12.0.1,2974.465837530089
a0610cf468e6208e74b2cfda77a565ab90fbd74e,2018-11-10,70.0.3538.102,611.0607673712149,63.0.1,1141.0369145187904,12.0.1,2948.7397538598734
abc39b85889509a3d101fd70f930e6f2f2776a4e,2018-11-11,70.0.3538.102,661.1719237159872,63.0.1,1153.2954624041106,12.0.1,2982.838327553193
89188af97522b15cfe7ab6cc1c9cdb58007f0967,2018-11-13,70.0.3538.102,660.7993290134712,63.0.1,1129.8867742502582,12.0.1,2985.050567638756
7201104211385809c4c53914834f7fe5c7a8b425,2018-11-14,70.0.3538.102,636.2308035346128,63.0.1,1144.7514931774322,12.0.1,2985.8240974981677
6856483bcc86322198f10e0c42385a7f9127eb66,2018-11-15,70.0.3538.102,637.6057237897962,63.0.1,1131.7070438350786,12.0.1,2986.6311189921516
b4c61af0f410976b96279df7f75715091619057d,2018-11-16,70.0.3538.102,638.6825262433598,63.0.3,1133.9788078089907,12.0.1,2984.1243017319784
c1faeb4eb5346a6bcaeb3f406136cb0bfd68d7b5,2018-11-20,70.0.3538.110,639.6599181134419,63.0.3,1158.2799356285393,12.0.1,2982.523556259376
e340f910d3652a059fde65ac0d026df1a003a7be,2018-11-21,70.0.3538.110,642.592632442419,63.0.3,1163.5389631932749,12.0.1,2999.840931574797
fe0e2ce1f30ee67ed4c3be7ae420d49b48bc5749,2018-11-22,70.0.3538.110,671.9095877093743,63.0.3,1142.9366699350267,12.0.1,3028.408991775432
40e50ecff750feff8e62dc98a72e9bca3a8c94cf,2018-11-24,70.0.3538.110,645.059789305164,63.0.3,1151.778835048635,12.0.1,2998.4663977752634
732cc9161d1302127fd4b99a50c13bdff7e253ce,2018-11-25,70.0.3538.110,674.5601861305609,63.0.3,1136.825412418181,12.0.1,3026.225964573276
e94ae4b34ee6fa3b7d608a011818f34757193725,2018-11-26,70.0.3538.110,674.1760118186343,63.0.3,1150.0253197023615,12.0.1,3030.706756111798
58523789a079f6b330c37247e035f76371dd1204,2018-11-27,70.0.3538.110,673.2871229297454,63.0.3,1148.3462457515143,12.0.1,3027.0156669962353
09972ca7bd566c05f4451b5dda4678e28850a563,2018-11-28,70.0.3538.110,650.057849135165,63.0.3,1175.67106737065,12.0.1,2997.0151709521824
38ba0516aac49af3e3cd971038266393aa0e107e,2018-11-29,70.0.3538.110,647.6670234470917,63.0.3,1166.6646504136233,12.0.1,3003.6235132683196
00942a1ab7ce9e859adbdc45ea0551090a9a403d,2018-11-30,70.0.3538.110,646.737798094979,63.0.3,1155.0237394386336,12.0.1,3008.0533473426276
d50692144c7e9f0835bcac87ed23f21a154fd382,2018-12-01,70.0.3538.110,647.7233131647046,63.0.3,1168.858044894959,12.0.1,3007.127704594634
ef72a20e3dbb89e06df6d193294aed9361f4ad42,2018-12-04,70.0.3538.110,676.3288687202601,63.0.3,1163.488246262219,12.0.1,3040.0552021146195
614fd870e47c9f4e76291e5af4e32b676c0acac0,2018-12-05,71.0.3578.80,620.4515286684457,63.0.3,1165.4522000775191,12.0.1,3057.734478646124
093a97b6ecc6484c201d704d38b47bef1964d59d,2018-12-06,71.0.3578.80,629.7162300178946,63.0.3,1182.4020643214624,12.0.1,3059.2045320409807
ffcb833670935c1806abf2fc3e5c7ba022c32f1f,2018-12-07,71.0.3578.80,618.7193858113029,63.0.3,1186.6658789128082,12.0.1,3063.831280414961
6087baf4a83e7953112242be9fd6e719797ebdf6,2018-12-08,71.0.3578.80,628.6343329012498,63.0.3,1177.0609177408792,12.0.1,3061.788885603619
5349c6a6327372f856ecbe07d863d468a4236726,2018-12-09,71.0.3578.80,620.5943858113029,63.0.3,1194.4976006489708,12.0.1,3063.449446401159
2d5385793ade85b7268ee86db4535a1baeb508ab,2018-12-10,71.0.3578.80,653.1451982718629,63.0.3,1160.8237065681049,12.0.1,3104.0064198174114
48d5d5033d2f634125d0ae2dd494d68f8d01de79,2018-12-12,71.0.3578.80,633.0718070654643,64.0,1080.2368086850006,12.0.1,3194.815899041825
e75e7b667c75aabc4569b46d902b81d40d9b8e44,2018-12-14,71.0.3578.98,622.1291843692161,64.0,1073.870719829037,12.0.1,3139.8701404693848
